iteration,time_s,shift,inertia,method,workers,clusters
0,1.1565041000721976,5.334378719329834,8292910.21875,parallel_partial_stats_mp,2,4
1,0.09713050001300871,1.5602443218231201,7405742.7734375,parallel_partial_stats_mp,2,4
2,0.09937819989863783,1.8751580715179443,7286262.265625,parallel_partial_stats_mp,2,4
3,0.09394500008784235,2.333446502685547,7160060.4140625,parallel_partial_stats_mp,2,4
4,0.09232060005888343,0.3845224976539612,7073911.703125,parallel_partial_stats_mp,2,4
5,0.09997750003822148,0.04532714933156967,7071664.390625,parallel_partial_stats_mp,2,4
