iteration,time_s,shift,inertia,method,workers,clusters
0,1.2653795999940485,5.334378242492676,8292910.23046875,parallel_partial_stats_mp,4,4
1,0.08273959998041391,1.5602444410324097,7405742.8359375,parallel_partial_stats_mp,4,4
2,0.08897579996846616,1.8751581907272339,7286262.2109375,parallel_partial_stats_mp,4,4
3,0.08830040006432682,2.333446502685547,7160060.46875,parallel_partial_stats_mp,4,4
4,0.08957780001219362,0.384522408246994,7073911.96484375,parallel_partial_stats_mp,4,4
5,0.08748810004908592,0.04532716050744057,7071664.33203125,parallel_partial_stats_mp,4,4
