iteration,time_s,shift,inertia,method,workers,clusters
0,1.3271286999806762,6.02778959274292,7979336.4921875,parallel_partial_stats_mp,4,7
1,0.14540459995623678,2.4423933029174805,7184414.08203125,parallel_partial_stats_mp,4,7
2,0.14857660001143813,2.901998519897461,7086100.51953125,parallel_partial_stats_mp,4,7
3,0.1487896000035107,5.574218273162842,6971646.31640625,parallel_partial_stats_mp,4,7
4,0.1545908999396488,1.9638643264770508,6816033.8828125,parallel_partial_stats_mp,4,7
5,0.14915069995913655,1.0383774042129517,6787766.2734375,parallel_partial_stats_mp,4,7
