iteration,time_s,shift,inertia,method,workers,clusters
0,1.2523571000201628,6.027790069580078,7979336.453125,parallel_partial_stats_mp,2,7
1,0.1556235000025481,2.4423940181732178,7184414.1015625,parallel_partial_stats_mp,2,7
2,0.18743309995625168,2.901998519897461,7086100.3984375,parallel_partial_stats_mp,2,7
3,0.17764060001354665,5.574218273162842,6971646.18359375,parallel_partial_stats_mp,2,7
4,0.184127299929969,1.9638643264770508,6816033.8671875,parallel_partial_stats_mp,2,7
5,0.16495470004156232,1.038377285003662,6787766.2578125,parallel_partial_stats_mp,2,7
